i,t_sec,cmd,ok_full,Xc_cm,Z_cm,disp_px,cx_L,cx_R
153,29.593,SEARCHING,0,,,,,
154,29.779,SEARCHING,0,,,,,
155,29.961,SEARCHING,0,,,,,
156,30.156,SEARCHING,0,,,,,
157,30.343,SEARCHING,0,,,,,
158,30.543,SEARCHING,0,,,,,
159,30.73,SEARCHING,0,,,,,
160,30.913,SEARCHING,0,,,,,
161,31.11,SEARCHING,0,,,,,
162,31.296,SEARCHING,0,,,,,
163,31.484,SEARCHING,0,,,,,
164,31.67,SEARCHING,0,,,,,
165,31.854,SEARCHING,0,,,,,
166,32.07,SEARCHING,0,,,,,
167,32.256,SEARCHING,0,,,,,
168,32.444,SEARCHING,0,,,,,
169,32.627,SEARCHING,0,,,,,
170,32.813,SEARCHING,0,,,,,
171,33.0,SEARCHING,0,,,,,
172,33.187,SEARCHING,0,,,,,
173,33.434,SEARCHING,0,,,,,
174,33.623,SEARCHING,0,,,,,
175,33.81,SEARCHING,0,,,,,
176,33.994,SEARCHING,0,,,,,
177,34.186,SEARCHING,0,,,,,
178,34.371,SEARCHING,0,,,,,
179,34.567,SEARCHING,0,,,,,
180,34.752,SEARCHING,0,,,,,
181,34.94,SEARCHING,0,,,,,
182,35.131,SEARCHING,0,,,,,
183,35.318,SEARCHING,0,,,,,
184,35.504,SEARCHING,0,,,,,
185,35.689,SEARCHING,0,,,,,
186,35.877,SEARCHING,0,,,,,
187,36.072,SEARCHING,0,,,,,
188,36.259,SEARCHING,0,,,,,
189,36.445,SEARCHING,0,,,,,
190,36.629,SEARCHING,0,,,,,
191,36.815,SEARCHING,0,,,,,
192,37.004,SEARCHING,0,,,,,
193,37.192,SEARCHING,0,,,,,
194,37.378,SEARCHING,0,,,,,
195,37.566,SEARCHING,0,,,,,
196,37.749,SEARCHING,0,,,,,
197,37.937,SEARCHING,0,,,,,
198,38.129,SEARCHING,0,,,,,
199,38.311,SEARCHING,0,,,,,
200,38.541,SEARCHING,0,,,,,
201,38.722,SEARCHING,0,,,,,
202,38.905,SEARCHING,0,,,,,
203,39.097,SEARCHING,0,,,,,
204,39.283,SEARCHING,0,,,,,
205,39.479,SEARCHING,0,,,,,
206,39.664,SEARCHING,0,,,,,
207,39.853,SEARCHING,0,,,,,
208,40.058,SEARCHING,0,,,,,
209,40.241,SEARCHING,0,,,,,
210,40.426,SEARCHING,0,,,,,
211,40.612,SEARCHING,0,,,,,
212,40.802,SEARCHING,0,,,,,
213,40.988,SEARCHING,0,,,,,
214,41.176,SEARCHING,0,,,,,
215,41.36,SEARCHING,0,,,,,
216,41.549,SEARCHING,0,,,,,
217,41.737,SEARCHING,0,,,,,
218,41.925,SEARCHING,0,,,,,
219,42.122,SEARCHING,0,,,,,
220,42.312,SEARCHING,0,,,,,
221,42.499,SEARCHING,0,,,,,
222,42.684,SEARCHING,0,,,,,
223,42.87,SEARCHING,0,,,,,
224,43.065,SEARCHING,0,,,,,
225,43.249,SEARCHING,0,,,,,
226,43.5,SEARCHING,0,,,,,
227,43.684,SEARCHING,0,,,,,
228,43.869,SEARCHING,0,,,,,
229,44.062,SEARCHING,0,,,,,
230,44.248,SEARCHING,0,,,,,
231,44.436,SEARCHING,0,,,,,
232,44.625,SEARCHING,0,,,,,
233,44.81,SEARCHING,0,,,,,
234,44.997,SEARCHING,0,,,,,
235,45.186,SEARCHING,0,,,,,
236,45.374,SEARCHING,0,,,,,
237,45.56,SEARCHING,0,,,,,
238,45.749,SEARCHING,0,,,,,
239,45.934,SEARCHING,0,,,,,
240,46.131,SEARCHING,0,,,,,
241,46.316,SEARCHING,0,,,,,
242,46.501,SEARCHING,0,,,,,
243,46.689,SEARCHING,0,,,,,
244,46.876,SEARCHING,0,,,,,
245,47.07,SEARCHING,0,,,,,
246,47.256,SEARCHING,0,,,,,
247,47.445,SEARCHING,0,,,,,
248,47.629,SEARCHING,0,,,,,
249,47.816,SEARCHING,0,,,,,
250,48.003,SEARCHING,0,,,,,
251,48.194,SEARCHING,0,,,,,
252,48.438,SEARCHING,0,,,,,
253,48.627,SEARCHING,0,,,,,
254,48.83,SEARCHING,0,,,,,
255,49.021,SEARCHING,0,,,,,
256,49.208,SEARCHING,0,,,,,
257,49.395,SEARCHING,0,,,,,
258,49.595,SEARCHING,0,,,,,
259,49.783,SEARCHING,0,,,,,
260,49.969,SEARCHING,0,,,,,
261,50.165,SEARCHING,0,,,,,
262,50.354,SEARCHING,0,,,,,
263,50.54,SEARCHING,0,,,,,
264,50.725,SEARCHING,0,,,,,
265,50.913,SEARCHING,0,,,,,
266,51.126,SEARCHING,0,,,,,
267,51.314,SEARCHING,0,,,,,
268,51.5,SEARCHING,0,,,,,
269,51.686,SEARCHING,0,,,,,
270,51.872,SEARCHING,0,,,,,
271,52.068,SEARCHING,0,,,,,
272,52.256,SEARCHING,0,,,,,
273,52.447,SEARCHING,0,,,,,
274,52.632,SEARCHING,0,,,,,
275,52.813,SEARCHING,0,,,,,
276,52.998,SEARCHING,0,,,,,
277,53.184,SEARCHING,0,,,,,
278,53.406,SEARCHING,0,,,,,
279,53.602,SEARCHING,0,,,,,
280,53.788,SEARCHING,0,,,,,
281,53.975,SEARCHING,0,,,,,
282,54.198,SEARCHING,0,,,,,
283,54.391,SEARCHING,0,,,,,
284,54.587,SEARCHING,0,,,,,
285,54.771,SEARCHING,0,,,,,
286,54.957,SEARCHING,0,,,,,
287,55.208,SEARCHING,0,,,,,
288,55.492,SEARCHING,0,,,,,
289,55.781,SEARCHING,0,,,,,
290,55.996,SEARCHING,0,,,,,
291,56.193,SEARCHING,0,,,,,
292,56.379,SEARCHING,0,,,,,
293,56.565,SEARCHING,0,,,,,
294,56.752,SEARCHING,0,,,,,
295,56.941,FORWARD,1,-5.476,93.317,73.0,365,292
296,57.142,FORWARD,1,-4.835,109.873,62.0,370,308
297,57.333,FORWARD,1,-4.669,128.531,53.0,371,318
298,57.521,SEARCHING,0,,,,,
299,57.712,FORWARD,1,-4.341,119.511,57.0,373,316
300,57.906,FORWARD,1,-7.743,115.46,59.0,352,293
301,58.101,SEARCHING,0,,,,,
302,58.29,FORWARD,1,-12.927,113.535,60.0,319,259
303,58.524,SEARCHING,0,,,,,
304,58.712,FORWARD,1,-10.774,128.531,53.0,337,284
305,58.901,SEARCHING,0,,,,,
306,59.101,FORWARD,1,-1.559,117.45,58.0,390,332
307,59.29,FORWARD,1,0.371,106.439,64.0,405,341
308,59.482,FORWARD,1,1.403,111.674,61.0,410,349
309,59.67,SEARCHING,0,,,,,
310,59.858,FORWARD,1,2.869,108.129,63.0,421,358
311,60.054,FORWARD,1,2.567,108.129,63.0,419,356
312,60.24,SEARCHING,0,,,,,
313,60.434,FORWARD,1,0.52,106.439,64.0,406,342
314,60.642,FORWARD,1,-0.001,104.802,65.0,403,338
315,60.835,FORWARD,1,-1.659,103.214,66.0,392,326
316,61.038,FORWARD,1,-3.368,104.802,65.0,380,315
317,61.23,FORWARD,1,-6.648,100.178,68.0,357,289
318,61.42,FORWARD,1,-10.038,93.317,73.0,330,257
319,61.615,FORWARD,1,-11.406,100.178,68.0,323,255
320,61.807,FORWARD,1,-12.539,80.143,85.0,301,216
321,62.002,LEFT,1,-17.55,88.469,77.0,267,190
322,62.206,SHARP LEFT,1,-23.16,82.074,83.0,210,127
323,62.398,SHARP LEFT,1,-32.998,88.469,77.0,142,65
324,62.59,SEARCHING,0,,,,64,
325,62.776,SEARCHING,0,,,,20,
326,62.963,SEARCHING,0,,,,,
327,63.157,SEARCHING,0,,,,,
328,63.357,SEARCHING,0,,,,,
329,63.641,SEARCHING,0,,,,,
330,63.827,SEARCHING,0,,,,,
331,64.02,SEARCHING,0,,,,,
332,64.21,SEARCHING,0,,,,,
333,64.396,SEARCHING,0,,,,,
334,64.593,SEARCHING,0,,,,,
335,64.778,SEARCHING,0,,,,,
336,64.964,SEARCHING,0,,,,,
337,65.157,SEARCHING,0,,,,,
338,65.343,SEARCHING,0,,,,,
339,65.528,SEARCHING,0,,,,,
340,65.712,SEARCHING,0,,,,,
341,65.901,SEARCHING,0,,,,,
342,66.099,SEARCHING,0,,,,,
343,66.286,SEARCHING,0,,,,,
344,66.476,SEARCHING,0,,,,,
345,66.662,SEARCHING,0,,,,,
346,66.849,SEARCHING,0,,,,,
347,67.047,SEARCHING,0,,,,,
348,67.233,SEARCHING,0,,,,,
349,67.419,SEARCHING,0,,,,,
350,67.606,SEARCHING,0,,,,,
351,67.792,SEARCHING,0,,,,,
352,67.979,SEARCHING,0,,,,,
353,68.173,SEARCHING,0,,,,,
354,68.392,SEARCHING,0,,,,,
355,68.59,SEARCHING,0,,,,,
356,68.773,SEARCHING,0,,,,,
357,68.958,SEARCHING,0,,,,,
358,69.153,FORWARD,1,-5.867,93.317,73.0,362,289
359,69.34,FORWARD,1,-1.859,106.439,64.0,390,326
360,69.542,FORWARD,1,-3.288,123.857,55.0,379,324
361,69.734,FORWARD,1,-0.001,119.511,57.0,399,342
362,69.922,FORWARD,1,0.245,117.45,58.0,401,343
363,70.116,FORWARD,1,0.574,117.45,58.0,403,345
364,70.305,FORWARD,1,0.084,121.645,56.0,399,343
365,70.497,FORWARD,1,-0.157,111.674,61.0,400,339
366,70.691,FORWARD,1,3.035,117.45,58.0,418,360
367,70.878,RIGHT,1,5.709,104.802,65.0,442,377
368,71.079,RIGHT,1,8.578,103.214,66.0,463,397
369,71.271,RIGHT,1,9.846,94.613,72.0,481,409
370,71.463,SHARP RIGHT,1,14.342,98.726,69.0,509,440
371,71.651,SHARP RIGHT,1,14.211,89.633,76.0,522,446
372,71.842,SHARP RIGHT,1,13.528,82.074,83.0,530,447
373,72.041,RIGHT,1,9.195,76.541,89.0,501,412
374,72.235,FORWARD,1,3.973,74.858,91.0,454,363
375,72.43,FORWARD,1,-3.096,82.074,83.0,385,302
376,72.622,FORWARD,1,-12.427,44.817,152.0,248,96
377,72.81,SEARCHING,0,,,,55,
378,72.993,SEARCHING,0,,,,,
379,73.181,SEARCHING,0,,,,,
380,73.397,SEARCHING,0,,,,,
381,73.592,SEARCHING,0,,,,,
382,73.778,SEARCHING,0,,,,,
383,73.961,SEARCHING,0,,,,,
384,74.156,SEARCHING,0,,,,,
385,74.342,SEARCHING,0,,,,,
386,74.538,SEARCHING,0,,,,,
387,74.724,SEARCHING,0,,,,,
388,74.905,SEARCHING,0,,,,,
389,75.099,SEARCHING,0,,,,,
390,75.284,SEARCHING,0,,,,,
391,75.472,SEARCHING,0,,,,,
392,75.663,SEARCHING,0,,,,,
393,75.849,SEARCHING,0,,,,,
394,76.044,SEARCHING,0,,,,,
395,76.227,SEARCHING,0,,,,,
396,76.41,SEARCHING,0,,,,,
397,76.592,SEARCHING,0,,,,,
398,76.777,SEARCHING,0,,,,,
399,76.962,SEARCHING,0,,,,,
400,77.153,SEARCHING,0,,,,,
401,77.342,SEARCHING,0,,,,,
402,77.527,SEARCHING,0,,,,,
403,77.714,SEARCHING,0,,,,,
404,77.899,SEARCHING,0,,,,,
405,78.098,SEARCHING,0,,,,,
406,78.285,SEARCHING,0,,,,,
407,78.527,SEARCHING,0,,,,,
408,78.711,SEARCHING,0,,,,,
409,78.894,SEARCHING,0,,,,,
410,79.09,SEARCHING,0,,,,,
411,79.275,SEARCHING,0,,,,,
412,79.461,SEARCHING,0,,,,,
413,79.653,SEARCHING,0,,,,,
414,79.836,SEARCHING,0,,,,,
415,80.024,SEARCHING,0,,,,,
416,80.212,SEARCHING,0,,,,,
417,80.396,SEARCHING,0,,,,,
418,80.584,SEARCHING,0,,,,,
419,80.77,SEARCHING,0,,,,,
420,80.981,SEARCHING,0,,,,,
421,81.177,SEARCHING,0,,,,,
422,81.361,SEARCHING,0,,,,,
423,81.548,SEARCHING,0,,,,,
424,81.732,SEARCHING,0,,,,,
425,81.919,SEARCHING,0,,,,,
426,82.112,SEARCHING,0,,,,,
427,82.296,SEARCHING,0,,,,,
428,82.485,SEARCHING,0,,,,,
429,82.672,SEARCHING,0,,,,,
430,82.857,SEARCHING,0,,,,,
431,83.05,SEARCHING,0,,,,,
432,83.232,SEARCHING,0,,,,,
433,83.478,SEARCHING,0,,,,,
434,83.664,SEARCHING,0,,,,,
435,83.848,SEARCHING,0,,,,,
436,84.04,SEARCHING,0,,,,,
437,84.224,SEARCHING,0,,,,,
438,84.411,SEARCHING,0,,,,,
439,84.603,SEARCHING,0,,,,,
440,84.79,SEARCHING,0,,,,,
441,84.972,SEARCHING,0,,,,,
442,85.165,SEARCHING,0,,,,,
443,85.348,SEARCHING,0,,,,,
444,85.536,SEARCHING,0,,,,,
445,85.719,SEARCHING,0,,,,,
446,85.902,SEARCHING,0,,,,,
447,86.094,SEARCHING,0,,,,,
448,86.278,SEARCHING,0,,,,,
449,86.464,SEARCHING,0,,,,,
450,86.649,SEARCHING,0,,,,,
451,86.832,SEARCHING,0,,,,,
452,87.018,SEARCHING,0,,,,,
453,87.2,SEARCHING,0,,,,,
454,87.384,SEARCHING,0,,,,,
455,87.57,SEARCHING,0,,,,,
456,87.751,SEARCHING,0,,,,,
457,87.932,SEARCHING,0,,,,,
458,88.123,SEARCHING,0,,,,,
459,88.308,SEARCHING,0,,,,,
460,88.532,SEARCHING,0,,,,,
461,88.717,SEARCHING,0,,,,,
462,88.902,SEARCHING,0,,,,,
463,89.098,SEARCHING,0,,,,,
464,89.284,SEARCHING,0,,,,,
465,89.473,SEARCHING,0,,,,,
466,89.66,SEARCHING,0,,,,,
467,89.845,SEARCHING,0,,,,,
468,90.043,SEARCHING,0,,,,,
469,90.231,SEARCHING,0,,,,,
470,90.434,SEARCHING,0,,,,,
