i,t_sec,ok_full,cmd,cx_L,cy_L,cx_R,cy_R,disp_px,Xc_cm,Z_cm
1,2.769,1,FORWARD,357,271,295,272,62.0,-6.831,109.873
2,2.97,1,FORWARD,357,271,295,272,62.0,-6.831,109.873
3,3.16,1,FORWARD,357,271,293,271,64.0,-6.766,106.439
4,3.352,1,FORWARD,357,271,296,273,61.0,-6.865,111.674
5,3.544,1,FORWARD,357,271,296,272,61.0,-6.865,111.674
6,3.744,1,FORWARD,357,271,295,272,62.0,-6.831,109.873
7,3.936,1,FORWARD,357,271,295,273,62.0,-6.831,109.873
8,4.124,1,FORWARD,352,272,288,273,64.0,-7.509,106.439
9,4.312,1,FORWARD,361,275,294,275,67.0,-6.108,101.673
10,4.499,1,FORWARD,381,274,314,274,67.0,-3.267,101.673
11,4.696,1,FORWARD,392,272,313,268,79.0,-2.169,86.229
12,4.948,1,FORWARD,397,272,313,269,84.0,-1.756,81.097
13,5.146,1,FORWARD,404,276,318,273,86.0,-1.052,79.211
14,5.339,1,FORWARD,408,278,316,277,92.0,-0.88,74.045
15,5.533,1,FORWARD,408,274,306,273,102.0,-1.26,66.785
16,5.733,1,FORWARD,407,270,296,264,111.0,-1.629,61.37
17,5.929,1,FORWARD,407,282,254,278,153.0,-2.488,44.524
18,6.133,1,FORWARD,378,281,237,279,141.0,-4.252,48.313
19,6.324,1,FORWARD,360,286,189,279,171.0,-5.343,39.837
20,6.513,1,FORWARD,342,294,143,297,199.0,-6.121,34.232
21,6.711,1,FORWARD,306,301,57,301,249.0,-7.223,27.358
22,6.901,1,FORWARD,252,313,25,341,227.0,-9.726,30.009
23,7.092,0,SEARCHING,185,328,,,,,
24,7.286,0,SEARCHING,166,315,,,,,
25,7.478,0,SEARCHING,133,277,,,,,
26,7.681,0,SEARCHING,109,287,,,,,
27,7.877,0,SEARCHING,173,278,,,,,
28,8.069,0,SEARCHING,137,270,,,,,
29,8.26,0,SEARCHING,90,298,,,,,
30,8.452,0,SEARCHING,152,278,,,,,
31,8.65,0,SEARCHING,173,272,,,,,
32,8.842,0,SEARCHING,148,287,,,,,
33,9.029,0,SEARCHING,130,291,,,,,
34,9.22,0,SEARCHING,131,291,,,,,
35,9.413,0,SEARCHING,133,290,,,,,
36,9.61,0,SEARCHING,133,290,,,,,
37,9.805,0,SEARCHING,132,289,,,,,
38,10.042,0,SEARCHING,133,287,,,,,
39,10.233,0,SEARCHING,133,288,,,,,
40,10.427,0,SEARCHING,132,286,,,,,
41,10.634,0,SEARCHING,132,288,,,,,
42,10.829,0,SEARCHING,132,287,,,,,
43,11.034,0,SEARCHING,132,287,,,,,
44,11.23,0,SEARCHING,132,287,,,,,
45,11.422,0,SEARCHING,132,286,,,,,
46,11.617,0,SEARCHING,132,287,,,,,
47,11.81,0,SEARCHING,132,286,,,,,
48,12.001,0,SEARCHING,132,287,,,,,
49,12.198,0,SEARCHING,132,286,,,,,
50,12.394,0,SEARCHING,132,286,,,,,
51,12.586,0,SEARCHING,132,286,,,,,
52,12.781,0,SEARCHING,132,287,,,,,
53,12.974,0,SEARCHING,132,286,,,,,
54,13.168,0,SEARCHING,132,287,,,,,
55,13.361,0,SEARCHING,132,286,,,,,
56,13.556,0,SEARCHING,132,287,,,,,
57,13.762,0,SEARCHING,132,286,,,,,
58,13.956,0,SEARCHING,132,286,,,,,
59,14.149,0,SEARCHING,132,286,,,,,
60,14.344,0,SEARCHING,132,286,,,,,
61,14.538,0,SEARCHING,132,287,,,,,
62,14.742,0,SEARCHING,132,286,,,,,
63,14.996,0,SEARCHING,132,287,,,,,
64,15.19,0,SEARCHING,132,286,,,,,
65,15.382,0,SEARCHING,132,286,,,,,
66,15.574,0,SEARCHING,132,287,,,,,
67,15.77,0,SEARCHING,132,287,,,,,
68,15.962,0,SEARCHING,132,287,,,,,
69,16.162,0,SEARCHING,132,287,,,,,
70,16.358,0,SEARCHING,132,286,,,,,
71,16.554,0,SEARCHING,132,286,,,,,
72,16.757,0,SEARCHING,132,286,,,,,
73,16.95,0,SEARCHING,132,286,,,,,
74,17.145,0,SEARCHING,132,286,,,,,
75,17.333,0,SEARCHING,132,286,,,,,
76,17.524,0,SEARCHING,132,287,,,,,
77,17.726,0,SEARCHING,132,286,,,,,
78,17.918,0,SEARCHING,132,286,,,,,
79,18.108,0,SEARCHING,132,286,,,,,
80,18.302,0,SEARCHING,132,287,,,,,
81,18.489,0,SEARCHING,132,286,,,,,
82,18.693,0,SEARCHING,132,286,,,,,
83,18.884,0,SEARCHING,132,287,,,,,
84,19.076,0,SEARCHING,132,287,,,,,
85,19.265,0,SEARCHING,132,287,,,,,
86,19.457,0,SEARCHING,132,286,,,,,
87,19.657,0,SEARCHING,132,286,,,,,
88,19.878,0,SEARCHING,132,286,,,,,
89,20.086,0,SEARCHING,132,286,,,,,
90,20.277,0,SEARCHING,132,287,,,,,
91,20.468,0,SEARCHING,132,286,,,,,
92,20.67,0,SEARCHING,132,286,,,,,
93,20.866,0,SEARCHING,132,286,,,,,
94,21.074,0,SEARCHING,132,286,,,,,
95,21.269,0,SEARCHING,132,286,,,,,
96,21.462,0,SEARCHING,132,286,,,,,
97,21.668,0,SEARCHING,132,286,,,,,
98,21.866,0,SEARCHING,132,287,,,,,
99,22.057,0,SEARCHING,132,286,,,,,
100,22.248,0,SEARCHING,132,286,,,,,
101,22.456,0,SEARCHING,132,286,,,,,
102,22.655,0,SEARCHING,132,286,,,,,
103,22.848,0,SEARCHING,132,286,,,,,
104,23.042,0,SEARCHING,132,287,,,,,
105,23.236,0,SEARCHING,132,287,,,,,
106,23.434,0,SEARCHING,132,287,,,,,
107,23.638,0,SEARCHING,132,286,,,,,
108,23.838,0,SEARCHING,132,287,,,,,
109,24.032,0,SEARCHING,132,286,,,,,
110,24.23,0,SEARCHING,132,286,,,,,
111,24.426,0,SEARCHING,131,286,,,,,
112,24.625,0,SEARCHING,132,286,,,,,
113,24.816,0,SEARCHING,132,286,,,,,
114,25.049,0,SEARCHING,132,286,,,,,
115,25.242,0,SEARCHING,132,286,,,,,
116,25.433,0,SEARCHING,132,287,,,,,
117,25.642,0,SEARCHING,132,287,,,,,
118,25.834,0,SEARCHING,132,287,,,,,
119,26.04,0,SEARCHING,132,287,,,,,
120,26.232,0,SEARCHING,132,286,,,,,
121,26.426,0,SEARCHING,132,286,,,,,
122,26.628,0,SEARCHING,132,287,,,,,
123,26.822,0,SEARCHING,132,287,,,,,
124,27.015,0,SEARCHING,132,287,,,,,
125,27.205,0,SEARCHING,132,287,,,,,
126,27.402,0,SEARCHING,132,287,,,,,
127,27.598,0,SEARCHING,132,287,,,,,
128,27.8,0,SEARCHING,132,286,,,,,
129,27.992,0,SEARCHING,132,287,,,,,
130,28.186,0,SEARCHING,132,286,,,,,
131,28.382,0,SEARCHING,132,286,,,,,
132,28.572,0,SEARCHING,132,286,,,,,
133,28.771,0,SEARCHING,132,286,,,,,
134,28.974,0,SEARCHING,132,286,,,,,
135,29.17,0,SEARCHING,132,286,,,,,
136,29.369,0,SEARCHING,132,287,,,,,
137,29.564,0,SEARCHING,132,286,,,,,
138,29.77,0,SEARCHING,132,287,,,,,
139,30.022,0,SEARCHING,132,287,,,,,
140,30.22,0,SEARCHING,132,287,,,,,
141,30.438,0,SEARCHING,132,287,,,,,
142,30.64,0,SEARCHING,132,286,,,,,
143,30.837,0,SEARCHING,132,286,,,,,
144,31.044,0,SEARCHING,132,286,,,,,
145,31.238,0,SEARCHING,132,286,,,,,
146,31.434,0,SEARCHING,132,286,,,,,
147,31.633,0,SEARCHING,132,286,,,,,
148,31.828,0,SEARCHING,132,287,,,,,
149,32.022,0,SEARCHING,132,285,,,,,
150,32.218,0,SEARCHING,132,286,,,,,
151,32.409,0,SEARCHING,132,286,,,,,
152,32.605,0,SEARCHING,132,286,,,,,
153,32.813,0,SEARCHING,132,286,,,,,
154,33.005,0,SEARCHING,132,286,,,,,
155,33.197,0,SEARCHING,132,286,,,,,
156,33.417,0,SEARCHING,132,288,,,,,
157,33.61,0,SEARCHING,132,286,,,,,
158,33.804,0,SEARCHING,132,287,,,,,
159,33.997,0,SEARCHING,132,287,,,,,
160,34.192,0,SEARCHING,131,287,,,,,
161,34.396,0,SEARCHING,132,286,,,,,
162,34.655,0,SEARCHING,132,286,,,,,
163,34.897,0,SEARCHING,132,286,,,,,
164,35.118,0,SEARCHING,132,287,,,,,
165,35.314,0,SEARCHING,132,287,,,,,
166,35.51,0,SEARCHING,132,287,,,,,
167,35.825,0,SEARCHING,132,286,,,,,
168,36.126,0,SEARCHING,132,287,,,,,
169,36.354,0,SEARCHING,132,286,,,,,
170,36.545,0,SEARCHING,132,286,,,,,
171,36.754,0,SEARCHING,132,287,,,,,
172,36.944,0,SEARCHING,132,287,,,,,
173,37.136,0,SEARCHING,131,286,,,,,
174,37.339,0,SEARCHING,132,287,,,,,
175,37.533,0,SEARCHING,132,286,,,,,
176,37.738,0,SEARCHING,132,286,,,,,
177,37.928,0,SEARCHING,132,287,,,,,
178,38.12,0,SEARCHING,132,286,,,,,
